t,vx_mm_s,vy_mm_s,wz_rad_s,velocity_mm_s,direction_deg,is_rotation_only,rpm_ref_M1,rpm_ref_M2,rpm_ref_M3,rpm_ref_M4,rpm_meas_M1,rpm_meas_M2,rpm_meas_M3,rpm_meas_M4,err_M1,err_M2,err_M3,err_M4,p_M1,p_M2,p_M3,p_M4,i_M1,i_M2,i_M3,i_M4,motor_sign_M1,motor_sign_M2,motor_sign_M3,motor_sign_M4,duty_ol_base_M1,duty_ol_base_M2,duty_ol_base_M3,duty_ol_base_M4,duty_pi_M1,duty_pi_M2,duty_pi_M3,duty_pi_M4
1783308229.2055564,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,1.2000000476837158,1.4500000476837158,1.1200000047683716,1.190000057220459,9.083857813638753,8.833857813638753,9.163857856554097,9.09385780410201,3.179350234773563,3.0918502347735632,3.207350249793934,3.1828502314357032,1.3065108092346898,1.305070809669208,1.3183908107796423,1.3251408109137528,-1,1,-1,1,-13,13,-13,13,-17,17,-18,18
1783308229.2256126,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,1.2000000476837158,1.4500000476837158,1.1200000047683716,1.190000057220459,9.083857813638753,8.833857813638753,9.163857856554097,9.09385780410201,3.179350234773563,3.0918502347735632,3.207350249793934,3.1828502314357032,1.3882655295574384,1.3845755299919569,1.4008655314886291,1.406985531150671,-1,1,-1,1,-13,13,-13,13,-18,17,-18,18
1783308229.2455657,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,1.75,1.9199999570846558,1.9199999570846558,1.7400000095367432,8.533857861322469,8.363857904237813,8.363857904237813,8.543857851785726,2.986850251462864,2.9273502664832343,2.9273502664832343,2.990350248125004,1.4650702503093407,1.4598502511300973,1.4761402526267695,1.4838802518167424,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.2656417,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,1.75,1.9199999570846558,1.9199999570846558,1.7400000095367432,8.533857861322469,8.363857904237813,8.363857904237813,8.543857851785726,2.986850251462864,2.9273502664832343,2.9273502664832343,2.990350248125004,1.541874971061243,1.5351249722682376,1.5514149737649099,1.560774972482814,-1,1,-1,1,-13,13,-13,13,-18,17,-17,18
1783308229.285671,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,2.5799999237060547,2.4800000190734863,2.4800000190734863,2.3499999046325684,7.703857937616414,7.803857842248982,7.803857842248982,7.9338579566899,2.696350278165745,2.731350244787144,2.731350244787144,2.776850284841465,1.6112096924997907,1.6053596928484786,1.6216496943451508,1.632179694093023,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.3056474,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,2.5799999237060547,2.4800000190734863,2.4800000190734863,2.3499999046325684,7.703857937616414,7.803857842248982,7.803857842248982,7.9338579566899,2.696350278165745,2.731350244787144,2.731350244787144,2.776850284841465,1.6805444139383385,1.6755944134287195,1.6918844149253918,1.7035844157032323,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.325714,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,2.5799999237060547,2.4800000190734863,2.4800000190734863,2.3499999046325684,7.703857937616414,7.803857842248982,7.803857842248982,7.9338579566899,2.696350278165745,2.731350244787144,2.731350244787144,2.776850284841465,1.7498791353768863,1.7458291340089604,1.7621191355056327,1.7749891373134414,-1,1,-1,1,-13,13,-13,13,-17,17,-17,18
1783308229.345601,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,3.390000104904175,3.319999933242798,3.5399999618530273,3.2300000190734863,6.893857756418294,6.963857928079671,6.743857899469441,7.053857842248982,2.4128502147464026,2.437350274827885,2.360350264814304,2.4688502447871437,1.811923855184651,1.8085038553616775,1.8228138566008576,1.8384738578936823,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.365712,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,3.390000104904175,3.319999933242798,3.5399999618530273,3.2300000190734863,6.893857756418294,6.963857928079671,6.743857899469441,7.053857842248982,2.4128502147464026,2.437350274827885,2.360350264814304,2.4688502447871437,1.8739685749924158,1.8711785767143945,1.8835085776960825,1.9019585784739232,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.3856723,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,4.409999847412109,4.360000133514404,4.519999980926514,4.53000020980835,5.873858013910359,5.923857727808064,5.763857880395955,5.753857651514119,2.055850304868626,2.0733502047328223,2.0173502581385843,2.0138501780299416,1.926833297117609,1.924493296264667,1.9353832986196462,1.9537432973375504,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
